email_ids	start_index	end_index	label
060-004531-EM	140	157	0
011-003043-EM	2396	2706	0
058-002581-EM	790	889	0
007-007305-EM	491	523	0
007-009131-EM	64	159	0
008-002033-EM	87	140	0
053-000036-EM	9	58	1
089-002514-EM	417	437	0
086-000404-EM	539	595	0
031-001271-EM	259	323	0
080-008400-EM	199	245	0
063-011389-EM	74	138	0
057-003423-EM	57	156	0
055-009647-EM	91	616	0
062-014151-EM	137	198	0
069-002835-EM	522	570	1
007-011148-EM	174	237	0
008-002902-EM	509	548	0
061-001190-EM	2	134	0
008-002276-EM	580	727	0
029-000411-EM	322	455	0
055-031651-EM	197	247	0
024-001736-EM	265	372	0
055-032705-EM	74	127	1
057-012308-EM	2	272	0
059-005955-EM	20	101	0
065-001858-EM	72	184	0
062-051592-EM	93	115	0
008-015703-EM	96	299	0
034-000206-EM	420	433	0
065-001912-EM	147	217	0
172-002321-EM	963	1004	0
048-001542-EM	15	49	0
082-001637-EM	40	142	0
062-060254-EM	398	523	0
059-002630-EM	1215	1240	0
053-003621-EM	94	239	1
115-001043-EM	868	922	0
032-000879-EM	285	339	0
046-003012-EM	931	1076	0
055-026163-EM	52	180	0
019-001036-EM	1378	1384	0
011-003874-EM	53	110	0
001-000882-EM	352	368	1
170-000010-EM	570	622	0
055-010663-EM	174	314	0
055-005701-EM	154	255	0
080-003872-EM	44	141	0
235-012320-EM	554	568	0
047-000523-EM	94	154	1
080-006416-EM	606	634	1
062-064124-EM	364	455	0
049-001230-EM	393	429	1
008-000578-EM	54	79	0
219-003937-EM	492	587	0
056-002228-EM	42	91	1
031-000195-EM	1184	1236	0
063-008260-EM	190	229	0
051-000925-EM	549	653	0
063-013744-EM	1030	1117	0
062-064083-EM	176	251	1
008-001083-EM	0	11	1
047-000523-EM	477	493	0
146-002151-EM	549	580	0
055-030183-EM	493	661	0
084-000371-EM	179	267	0
014-001156-EM	315	812	0
063-001783-EM	561	630	0
055-037946-EM	267	332	0
080-010558-EM	691	772	0
052-000840-EM	6478	6487	0
076-002343-EM	85	123	0
080-010104-EM	988	1243	0
046-005748-EM	173	208	0
061-000362-EM	268	302	1
055-016782-EM	2	363	0
059-006240-EM	253	396	0
055-023123-EM	165	282	0
029-001952-EM	295	417	0
008-008473-EM	84	132	0
032-002969-EM	207	338	0
084-003469-EM	109	215	0
015-002760-EM	139	191	0
055-031363-EM	285	371	0
057-010161-EM	290	361	0
062-063180-EM	124	163	0
056-000005-EM	535	621	0
076-004582-EM	297	459	0
077-000470-EM	24	54	0
057-004720-EM	174	191	0
008-009188-EM	365	391	0
084-012277-EM	127	236	0
016-005502-EM	480	570	0
205-004707-EM	684	773	0
053-003890-EM	942	995	0
068-006281-EM	40	146	1
081-000237-EM	1072	1112	0
008-009324-EM	21	36	0
060-004082-EM	26	55	0
055-030231-EM	805	843	0
188-005190-EM	369	407	0
059-007315-EM	150	177	0
055-027860-EM	226	361	0
011-002546-EM	341	487	0
014-002158-EM	96	172	0
205-007873-EM	800	889	0
055-026493-EM	41	71	0
057-012932-EM	2	218	0
058-003286-EM	2	79	0
008-006989-EM	177	209	0
008-001396-EM	179	861	0
055-025914-EM	294	321	0
099-000092-EM	25	55	0
040-009214-EM	10	104	0
